Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_157039_20240101_20240113_02_T1,LC08_L1TP_157039_20240101_20240113_02_T1,LC81570392024001LGN00,2024/01/01,T1,2, 157, 039, 157, 039,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-01 06:26:17,2024-01-01 06:26:49,LGN,DAY,   5.85,   5.85,620,5,    6.762,    3.955,    5.485,LPGS_16.3.1,32.31210058,154.96474396,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,41,WGS84,WGS84,30°18'21.74"N,61°17'25.30"E,31°20'42.29"N,60°03'09.94"E,31°22'40.55"N,62°29'23.82"E,29°13'02.03"N,60°06'56.66"E,29°14'50.68"N,62°30'03.10"E, 30.30604,  61.29036, 31.34508,  60.05276, 31.37793,  62.48995, 29.21723,  60.11574, 29.24741,  62.50086,LC08_L2SP_157039_20240101_20240113_02_T1,LC81570392024001LGN00
LC08_L2SP_157041_20240101_20240112_02_T1,LC08_L1TP_157041_20240101_20240112_02_T1,LC81570412024001LGN00,2024/01/01,T1,2, 157, 041, 157, 041,NADIR,  -0.001,2024/01/12,2024/01/12,2024-01-01 06:27:05,2024-01-01 06:27:37,LGN,DAY,  18.12,  18.12,654,5,    6.368,    3.532,    5.299,LPGS_16.3.1,34.69744435,153.59613152,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,41,WGS84,WGS84,27°25'52.28"N,60°33'06.55"E,28°28'04.84"N,59°20'36.02"E,28°30'40.07"N,61°42'48.46"E,26°20'07.26"N,59°24'46.66"E,26°22'29.03"N,61°44'16.84"E, 27.43119,  60.55182, 28.46801,  59.34334, 28.51113,  61.71346, 26.33535,  59.41296, 26.37473,  61.73801,LC08_L2SP_157041_20240101_20240112_02_T1,LC81570412024001LGN00
LC08_L2SP_157042_20240101_20240113_02_T1,LC08_L1TP_157042_20240101_20240113_02_T1,LC81570422024001LGN00,2024/01/01,T1,2, 157, 042, 157, 042,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-01 06:27:29,2024-01-01 06:28:01,LGN,DAY,  16.99,  14.55,725,5,    6.319,    3.816,    5.037,LPGS_16.3.1,35.87763413,152.87482333,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,41,WGS84,WGS84,25°59'33.83"N,60°11'35.38"E,27°01'39.04"N,58°59'43.87"E,27°04'28.96"N,61°20'13.16"E,24°53'43.01"N,59°04'01.78"E,24°56'17.66"N,61°22'00.55"E, 25.99273,  60.19316, 27.02751,  58.99552, 27.07471,  61.33699, 24.89528,  59.06716, 24.93824,  61.36682,LC08_L2SP_157042_20240101_20240113_02_T1,LC81570422024001LGN00
LC09_L2SP_149035_20240101_20240105_02_T1,LC09_L1TP_149035_20240101_20240101_02_T1,LC91490352024001LGN00,2024/01/01,T1,2, 149, 035, 149, 035,NADIR,   0.000,2024/01/05,2024/01/01,2024-01-01 05:35:25,2024-01-01 05:35:57,LGN,DAY,   3.21,   3.21,506,5,    8.490,    6.080,    5.925,LPGS_16.3.1,27.46538641,157.49179986,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,43,WGS84,WGS84,36°02'35.45"N,75°12'49.39"E,37°05'27.10"N,73°55'03.14"E,37°05'10.10"N,76°30'47.88"E,34°58'33.96"N,73°56'45.96"E,34°58'18.26"N,76°28'24.17"E, 36.04318,  75.21372, 37.09086,  73.91754, 37.08614,  76.51330, 34.97610,  73.94610, 34.97174,  76.47338,LC09_L2SP_149035_20240101_20240105_02_T1,LC91490352024001LGN00
LC09_L2SP_149036_20240101_20240105_02_T1,LC09_L1TP_149036_20240101_20240101_02_T1,LC91490362024001LGN00,2024/01/01,T1,2, 149, 036, 149, 036,NADIR,   0.000,2024/01/05,2024/01/01,2024-01-01 05:35:49,2024-01-01 05:36:21,LGN,DAY,   3.94,   3.94,725,5,    7.950,    5.455,    5.784,LPGS_16.3.1,28.68776772,156.89189273,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,43,WGS84,WGS84,34°36'38.95"N,74°48'15.16"E,35°39'21.74"N,73°31'34.68"E,35°39'36.94"N,76°04'29.89"E,33°32'18.20"N,73°33'47.70"E,33°32'32.24"N,76°02'52.84"E, 34.61082,  74.80421, 35.65604,  73.52630, 35.66026,  76.07497, 33.53839,  73.56325, 33.54229,  76.04801,LC09_L2SP_149036_20240101_20240105_02_T1,LC91490362024001LGN00
LC09_L2SP_149037_20240101_20240105_02_T1,LC09_L1TP_149037_20240101_20240101_02_T1,LC91490372024001LGN00,2024/01/01,T1,2, 149, 037, 149, 037,NADIR,  -0.001,2024/01/05,2024/01/01,2024-01-01 05:36:13,2024-01-01 05:36:45,LGN,DAY,  41.17,  41.17,504,5,    6.883,    4.408,    5.286,LPGS_16.3.1,29.90479007,156.27667145,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,43,WGS84,WGS84,33°10'36.66"N,74°24'17.28"E,34°13'11.64"N,73°08'29.26"E,34°13'56.10"N,75°39'09.29"E,32°06'07.78"N,73°11'08.23"E,32°06'48.78"N,75°38'13.42"E, 33.17685,  74.40480, 34.21990,  73.14146, 34.23225,  75.65258, 32.10216,  73.18562, 32.11355,  75.63706,LC09_L2SP_149037_20240101_20240105_02_T1,LC91490372024001LGN00
LC09_L2SP_149038_20240101_20240105_02_T2,LC09_L1GT_149038_20240101_20240101_02_T2,LC91490382024001LGN00,2024/01/01,T2,2, 149, 038, 149, 038,NADIR,   0.000,2024/01/05,2024/01/01,2024-01-01 05:36:37,2024-01-01 05:37:08,LGN,DAY, 100.00, 100.00,-1,5,    0.000,    0.000,    0.000,LPGS_16.3.1,31.11552624,155.64476369,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,43,WGS84,WGS84,31°44'31.34"N,74°00'54.83"E,32°46'57.65"N,72°46'06.17"E,32°48'08.42"N,75°14'17.48"E,30°39'44.06"N,72°49'07.14"E,30°40'49.22"N,75°13'58.15"E, 31.74204,  74.01523, 32.78268,  72.76838, 32.80234,  75.23819, 30.66224,  72.81865, 30.68034,  75.23282,LC09_L2SP_149038_20240101_20240105_02_T2,LC91490382024001LGN00
LC08_L2SP_148036_20240102_20240113_02_T1,LC08_L1TP_148036_20240102_20240113_02_T1,LC81480362024002LGN00,2024/01/02,T1,2, 148, 036, 148, 036,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-02 05:29:27,2024-01-02 05:29:59,LGN,DAY,   2.13,   2.13,468,5,    9.303,    6.363,    6.787,LPGS_16.3.1,28.71856870,156.71955219,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,43,WGS84,WGS84,34°36'38.66"N,76°22'07.25"E,35°39'44.24"N,75°07'25.46"E,35°37'59.66"N,77°38'53.38"E,33°33'46.48"N,75°07'14.41"E,33°32'09.67"N,77°34'56.64"E, 34.61074,  76.36868, 35.66229,  75.12374, 35.63324,  77.64816, 33.56291,  75.12067, 33.53602,  77.58240,LC08_L2SP_148036_20240102_20240113_02_T1,LC81480362024002LGN00
LC08_L2SP_148037_20240102_20240113_02_T1,LC08_L1TP_148037_20240102_20240113_02_T1,LC81480372024002LGN00,2024/01/02,T1,2, 148, 037, 148, 037,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-02 05:29:51,2024-01-02 05:30:23,LGN,DAY,   4.96,   4.96,687,5,    7.722,    5.113,    5.787,LPGS_16.3.1,29.93300216,156.10186979,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,43,WGS84,WGS84,33°10'37.16"N,75°58'09.84"E,34°13'41.84"N,74°44'14.06"E,34°12'30.38"N,77°13'18.70"E,32°07'22.87"N,74°44'36.42"E,32°06'16.88"N,77°10'09.84"E, 33.17699,  75.96940, 34.22829,  74.73724, 34.20844,  77.22186, 32.12302,  74.74345, 32.10469,  77.16940,LC08_L2SP_148037_20240102_20240113_02_T1,LC81480372024002LGN00
LC08_L2SP_148038_20240102_20240113_02_T1,LC08_L1TP_148038_20240102_20240113_02_T1,LC81480382024002LGN00,2024/01/02,T1,2, 148, 038, 148, 038,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-02 05:30:15,2024-01-02 05:30:47,LGN,DAY,  81.73,  81.73,158,5,    6.652,    4.397,    4.991,LPGS_16.3.1,31.14123686,155.46710154,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,43,WGS84,WGS84,31°44'31.70"N,75°34'46.85"E,32°47'24.40"N,74°21'37.08"E,32°46'43.32"N,76°48'27.72"E,30°41'04.06"N,74°22'28.60"E,30°40'26.18"N,76°46'02.21"E, 31.74214,  75.57968, 32.79011,  74.36030, 32.77870,  76.80770, 30.68446,  74.37461, 30.67394,  76.76728,LC08_L2SP_148038_20240102_20240113_02_T1,LC81480382024002LGN00
LC09_L2SP_156039_20240102_20240106_02_T1,LC09_L1TP_156039_20240102_20240102_02_T1,LC91560392024002LGN00,2024/01/02,T1,2, 156, 039, 156, 039,NADIR,   0.000,2024/01/06,2024/01/02,2024-01-02 06:20:15,2024-01-02 06:20:47,LGN,DAY,  36.91,  36.91,232,5,    8.411,    5.254,    6.568,LPGS_16.3.1,32.35304778,154.83286593,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,41,WGS84,WGS84,30°18'23.18"N,62°49'21.36"E,31°20'59.14"N,61°36'36.65"E,31°21'11.38"N,64°01'45.41"E,29°14'19.36"N,61°38'22.70"E,29°14'30.62"N,64°00'26.86"E, 30.30644,  62.82260, 31.34976,  61.61018, 31.35316,  64.02928, 29.23871,  61.63964, 29.24184,  64.00746,LC09_L2SP_156039_20240102_20240106_02_T1,LC91560392024002LGN00
LC09_L2SP_156040_20240102_20240106_02_T1,LC09_L1TP_156040_20240102_20240102_02_T1,LC91560402024002LGN00,2024/01/02,T1,2, 156, 040, 156, 040,NADIR,  -0.001,2024/01/06,2024/01/02,2024-01-02 06:20:39,2024-01-02 06:21:11,LGN,DAY,  14.07,  14.07,454,5,    7.658,    4.697,    6.049,LPGS_16.3.1,33.54788061,154.15741015,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,41,WGS84,WGS84,28°52'09.12"N,62°26'58.20"E,29°54'39.35"N,61°15'05.51"E,29°55'15.56"N,63°38'06.25"E,27°47'59.17"N,61°17'11.40"E,27°48'32.40"N,63°37'20.50"E, 28.86920,  62.44950, 29.91093,  61.25153, 29.92099,  63.63507, 27.79977,  61.28650, 27.80900,  63.62236,LC09_L2SP_156040_20240102_20240106_02_T1,LC91560402024002LGN00
LC09_L2SP_156041_20240102_20240106_02_T1,LC09_L1TP_156041_20240102_20240102_02_T1,LC91560412024002LGN00,2024/01/02,T1,2, 156, 041, 156, 041,NADIR,  -0.001,2024/01/06,2024/01/02,2024-01-02 06:21:03,2024-01-02 06:21:35,LGN,DAY,   9.07,   9.07,820,5,    6.081,    4.035,    4.549,LPGS_16.3.1,34.73443785,153.45888279,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,41,WGS84,WGS84,27°25'53.80"N,62°05'02.54"E,28°28'16.32"N,60°53'56.22"E,28°29'13.96"N,63°14'57.44"E,26°21'26.39"N,60°56'18.92"E,26°22'19.06"N,63°14'40.52"E, 27.43161,  62.08404, 28.47120,  60.89895, 28.48721,  63.24929, 26.35733,  60.93859, 26.37196,  63.24459,LC09_L2SP_156041_20240102_20240106_02_T1,LC91560412024002LGN00
LC09_L2SP_156042_20240102_20240106_02_T1,LC09_L1TP_156042_20240102_20240102_02_T1,LC91560422024002LGN00,2024/01/02,T1,2, 156, 042, 156, 042,NADIR,   0.000,2024/01/06,2024/01/02,2024-01-02 06:21:27,2024-01-02 06:21:59,LGN,DAY,   0.46,   0.44,1199,5,    5.955,    3.765,    4.614,LPGS_16.3.1,35.91302954,152.73469812,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,41,WGS84,WGS84,25°59'33.61"N,61°43'31.62"E,27°01'50.66"N,60°33'05.62"E,27°03'07.16"N,62°52'26.22"E,24°55'01.02"N,60°35'41.89"E,24°56'10.68"N,62°52'34.28"E, 25.99267,  61.72545, 27.03074,  60.55156, 27.05199,  62.87395, 24.91695,  60.59497, 24.93630,  62.87619,LC09_L2SP_156042_20240102_20240106_02_T1,LC91560422024002LGN00
LC09_L2SP_156043_20240102_20240106_02_T1,LC09_L1TP_156043_20240102_20240102_02_T1,LC91560432024002LGN00,2024/01/02,T1,2, 156, 043, 156, 043,NADIR,   0.000,2024/01/06,2024/01/02,2024-01-02 06:21:51,2024-01-02 06:22:23,LGN,DAY,   3.12,   5.60,492,5,    6.732,    4.168,    5.287,LPGS_16.3.1,37.08236137,151.98230211,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,41,WGS84,WGS84,24°33'10.51"N,61°22'22.12"E,25°35'23.17"N,60°12'41.33"E,25°36'55.91"N,62°30'17.96"E,23°28'24.31"N,60°15'28.40"E,23°29'48.44"N,62°30'47.66"E, 24.55292,  61.37281, 25.58977,  60.21148, 25.61553,  62.50499, 23.47342,  60.25789, 23.49679,  62.51324,LC09_L2SP_156043_20240102_20240106_02_T1,LC91560432024002LGN00
LC08_L2SP_155039_20240103_20240112_02_T1,LC08_L1TP_155039_20240103_20240112_02_T1,LC81550392024003LGN00,2024/01/03,T1,2, 155, 039, 155, 039,NADIR,  -0.001,2024/01/12,2024/01/12,2024-01-03 06:13:54,2024-01-03 06:14:26,LGN,DAY,  10.59,  10.59,579,5,    7.080,    4.072,    5.792,LPGS_16.3.1,32.38363226,154.64901259,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,41,WGS84,WGS84,30°18'21.92"N,64°23'14.82"E,31°21'25.67"N,63°12'10.55"E,31°19'51.49"N,65°35'56.62"E,29°15'42.23"N,63°11'55.14"E,29°14'15.58"N,65°32'39.91"E, 30.30609,  64.38745, 31.35713,  63.20293, 31.33097,  65.59906, 29.26173,  63.19865, 29.23766,  65.54442,LC08_L2SP_155039_20240103_20240112_02_T1,LC81550392024003LGN00
LC08_L2SP_155040_20240103_20240113_02_T1,LC08_L1TP_155040_20240103_20240113_02_T1,LC81550402024003LGN00,2024/01/03,T1,2, 155, 040, 155, 040,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-03 06:14:18,2024-01-03 06:14:49,LGN,DAY,   0.55,   0.55,813,5,    6.911,    3.727,    5.820,LPGS_16.3.1,33.57562470,153.97064982,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,41,WGS84,WGS84,28°52'08.62"N,64°00'52.24"E,29°55'01.24"N,62°50'33.11"E,29°53'55.10"N,65°12'25.09"E,27°49'06.38"N,62°50'44.38"E,27°48'05.69"N,65°09'47.20"E, 28.86906,  64.01451, 29.91701,  62.84253, 29.89864,  65.20697, 27.81844,  62.84566, 27.80158,  65.16311,LC08_L2SP_155040_20240103_20240113_02_T1,LC81550402024003LGN00
LC08_L2SP_155041_20240103_20240113_02_T1,LC08_L1TP_155041_20240103_20240113_02_T1,LC81550412024003LGN00,2024/01/03,T1,2, 155, 041, 155, 041,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-03 06:14:42,2024-01-03 06:15:13,LGN,DAY,   4.04,   4.04,665,5,    6.298,    4.817,    4.057,LPGS_16.3.1,34.75961478,153.26874757,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,41,WGS84,WGS84,27°25'52.32"N,63°38'56.22"E,28°28'42.06"N,62°29'21.12"E,28°28'01.63"N,64°49'16.21"E,26°22'36.16"N,62°29'55.61"E,26°21'59.15"N,64°47'13.27"E, 27.43120,  63.64895, 28.47835,  62.48920, 28.46712,  64.82117, 26.37671,  62.49878, 26.36643,  64.78702,LC08_L2SP_155041_20240103_20240113_02_T1,LC81550412024003LGN00
LC08_L2SP_155042_20240103_20240113_02_T1,LC08_L1TP_155042_20240103_20240113_02_T1,LC81550422024003LGN00,2024/01/03,T1,2, 155, 042, 155, 042,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-03 06:15:05,2024-01-03 06:15:37,LGN,DAY,  16.67,  21.05,821,5,    5.783,    4.477,    3.662,LPGS_16.3.1,35.93505011,152.54113190,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,41,WGS84,WGS84,25°59'33"N,63°17'24.72"E,27°02'18.89"N,62°08'20.29"E,27°02'01.72"N,64°26'37.21"E,24°56'02.22"N,62°09'15.01"E,24°55'46.56"N,64°25'05.48"E, 25.99250,  63.29020, 27.03858,  62.13897, 27.03381,  64.44367, 24.93395,  62.15417, 24.92960,  64.41819,LC08_L2SP_155042_20240103_20240113_02_T1,LC81550422024003LGN00
LC08_L2SP_155043_20240103_20240112_02_T1,LC08_L1TP_155043_20240103_20240112_02_T1,LC81550432024003LGN00,2024/01/03,T1,2, 155, 043, 155, 043,NADIR,  -0.001,2024/01/12,2024/01/12,2024-01-03 06:15:29,2024-01-03 06:16:01,LGN,DAY,  36.59,  41.36,341,5,    5.978,    4.552,    3.875,LPGS_16.3.1,37.10103965,151.78566193,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,41,WGS84,WGS84,24°33'11.70"N,62°56'15.97"E,25°35'52.33"N,61°47'49.42"E,25°35'55.90"N,64°04'35.36"E,23°29'25.26"N,61°49'01.16"E,23°29'28.46"N,64°03'31.14"E, 24.55325,  62.93777, 25.59787,  61.79706, 25.59886,  64.07649, 23.49035,  61.81699, 23.49124,  64.05865,LC08_L2SP_155043_20240103_20240112_02_T1,LC81550432024003LGN00
LC09_L2SP_154038_20240104_20240107_02_T1,LC09_L1TP_154038_20240104_20240104_02_T1,LC91540382024004LGN00,2024/01/04,T1,2, 154, 038, 154, 038,NADIR,  -0.001,2024/01/07,2024/01/04,2024-01-04 06:07:28,2024-01-04 06:08:00,LGN,DAY,  37.64,  37.64,461,5,    7.029,    4.322,    5.543,LPGS_16.3.1,31.24201238,155.17281778,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,42,WGS84,WGS84,31°44'32.24"N,66°18'01.58"E,32°46'28.09"N,65°01'14.41"E,32°49'44.15"N,67°30'50"E,30°38'09.10"N,65°06'39.96"E,30°41'09.49"N,67°32'51.90"E, 31.74229,  66.30044, 32.77447,  65.02067, 32.82893,  67.51389, 30.63586,  65.11110, 30.68597,  67.54775,LC09_L2SP_154038_20240104_20240107_02_T1,LC91540382024004LGN00
LC09_L2SP_154039_20240104_20240107_02_T1,LC09_L1TP_154039_20240104_20240104_02_T1,LC91540392024004LGN00,2024/01/04,T1,2, 154, 039, 154, 039,NADIR,   0.000,2024/01/07,2024/01/04,2024-01-04 06:07:52,2024-01-04 06:08:24,LGN,DAY,  34.76,  34.76,381,5,    7.500,    4.521,    5.985,LPGS_16.3.1,32.43924842,154.51317290,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,41,WGS84,WGS84,30°18'23.22"N,65°55'10.60"E,31°21'41.04"N,64°45'51.30"E,31°18'24.66"N,67°08'08.23"E,29°16'59.52"N,64°43'38.60"E,29°13'58.73"N,67°02'57.98"E, 30.30645,  65.91961, 31.36140,  64.76425, 31.30685,  67.13562, 29.28320,  64.72739, 29.23298,  67.04944,LC09_L2SP_154039_20240104_20240107_02_T1,LC91540392024004LGN00
LC09_L2SP_154040_20240104_20240107_02_T1,LC09_L1TP_154040_20240104_20240104_02_T1,LC91540402024004LGN00,2024/01/04,T1,2, 154, 040, 154, 040,NADIR,   0.000,2024/01/07,2024/01/04,2024-01-04 06:08:16,2024-01-04 06:08:48,LGN,DAY,  30.87,  30.87,425,5,    7.141,    4.802,    5.286,LPGS_16.3.1,33.62948061,153.83179964,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,41,WGS84,WGS84,28°52'09.05"N,65°32'48.16"E,29°55'13.84"N,64°23'58.45"E,29°52'29.24"N,66°44'35.30"E,27°50'29.40"N,64°22'19.09"E,27°47'58.27"N,66°40'10.16"E, 28.86918,  65.54671, 29.92051,  64.39957, 29.87479,  66.74314, 27.84150,  64.37197, 27.79952,  66.66949,LC09_L2SP_154040_20240104_20240107_02_T1,LC91540402024004LGN00
LC09_L2SP_154041_20240104_20240107_02_T1,LC09_L1TP_154041_20240104_20240104_02_T1,LC91540412024004LGN00,2024/01/04,T1,2, 154, 041, 154, 041,NADIR,  -0.001,2024/01/07,2024/01/04,2024-01-04 06:08:40,2024-01-04 06:09:12,LGN,DAY,  13.28,  13.28,437,5,    7.433,    5.455,    5.048,LPGS_16.3.1,34.81134785,153.12670813,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,41,WGS84,WGS84,27°25'52.79"N,65°10'51.89"E,28°28'50.63"N,64°02'34.98"E,28°26'35.74"N,66°21'28.44"E,26°23'53.88"N,64°01'25.14"E,26°21'50.44"N,66°17'44.05"E, 27.43133,  65.18108, 28.48073,  64.04305, 28.44326,  66.35790, 26.39830,  64.02365, 26.36401,  66.29557,LC09_L2SP_154041_20240104_20240107_02_T1,LC91540412024004LGN00
LC09_L2SP_154042_20240104_20240107_02_T1,LC09_L1TP_154042_20240104_20240104_02_T1,LC91540422024004LGN00,2024/01/04,T1,2, 154, 042, 154, 042,NADIR,  -0.001,2024/01/07,2024/01/04,2024-01-04 06:09:04,2024-01-04 06:09:35,LGN,DAY,  42.96,  45.93,227,5,    8.097,    5.954,    5.488,LPGS_16.3.1,35.98469836,152.39592384,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,41,WGS84,WGS84,25°59'33.25"N,64°49'20.71"E,27°02'31.96"N,63°41'37.28"E,27°00'44.39"N,65°58'54.98"E,24°57'13.54"N,63°40'53.51"E,24°55'35.40"N,65°55'47.10"E, 25.99257,  64.82242, 27.04221,  63.69369, 27.01233,  65.98194, 24.95376,  63.68153, 24.92650,  65.92975,LC09_L2SP_154042_20240104_20240107_02_T1,LC91540422024004LGN00
LC09_L2SP_154043_20240104_20240107_02_T1,LC09_L1TP_154043_20240104_20240104_02_T1,LC91540432024004LGN00,2024/01/04,T1,2, 154, 043, 154, 043,NADIR,   0.000,2024/01/07,2024/01/04,2024-01-04 06:09:28,2024-01-04 06:09:59,LGN,DAY,  34.71,  38.06,57,5,    6.788,    5.006,    4.585,LPGS_16.3.1,37.14890563,151.63697174,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,41,WGS84,WGS84,24°33'10.22"N,64°28'12"E,25°35'58.88"N,63°21'01.98"E,25°34'36.48"N,65°36'40"E,23°30'38.59"N,63°20'41.24"E,23°29'23.71"N,65°34'05.74"E, 24.55284,  64.47000, 25.59969,  63.35055, 25.57680,  65.61111, 23.51072,  63.34479, 23.48992,  65.56826,LC09_L2SP_154043_20240104_20240107_02_T1,LC91540432024004LGN00
LC08_L2SP_153035_20240105_20240112_02_T1,LC08_L1TP_153035_20240105_20240112_02_T1,LC81530352024005LGN00,2024/01/05,T1,2, 153, 035, 153, 035,NADIR,  -0.001,2024/01/12,2024/01/12,2024-01-05 05:59:55,2024-01-05 06:00:27,LGN,DAY,  11.17,  11.17,687,5,    8.017,    5.374,    5.949,LPGS_16.3.1,27.66586908,156.86787379,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,42,WGS84,WGS84,36°02'36.17"N,69°03'46.66"E,37°05'31.38"N,67°45'44.10"E,37°05'26.48"N,70°21'41.40"E,34°58'28.92"N,67°47'41.78"E,34°58'24.38"N,70°19'31.91"E, 36.04338,  69.06296, 37.09205,  67.76225, 37.09069,  70.36150, 34.97470,  67.79494, 34.97344,  70.32553,LC08_L2SP_153035_20240105_20240112_02_T1,LC81530352024005LGN00
LC08_L2SP_153036_20240105_20240113_02_T1,LC08_L1TP_153036_20240105_20240113_02_T1,LC81530362024005LGN00,2024/01/05,T1,2, 153, 036, 153, 036,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-05 06:00:19,2024-01-05 06:00:51,LGN,DAY,  23.26,  23.26,680,5,    8.077,    5.356,    6.047,LPGS_16.3.1,28.87962006,156.25701685,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,42,WGS84,WGS84,34°36'38.99"N,68°39'11.48"E,35°39'24.26"N,67°22'13.94"E,35°39'51.16"N,69°55'33.13"E,33°32'11.54"N,67°24'41.15"E,33°32'36.38"N,69°54'09.43"E, 34.61083,  68.65319, 35.65674,  67.37054, 35.66421,  69.92587, 33.53654,  67.41143, 33.54344,  69.90262,LC08_L2SP_153036_20240105_20240113_02_T1,LC81530362024005LGN00
LC08_L2SP_153037_20240105_20240113_02_T1,LC08_L1TP_153037_20240105_20240113_02_T1,LC81530372024005LGN00,2024/01/05,T1,2, 153, 037, 153, 037,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-05 06:00:43,2024-01-05 06:01:15,LGN,DAY,  16.35,  16.35,648,5,    7.175,    4.887,    5.253,LPGS_16.3.1,30.08762166,155.63069994,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,42,WGS84,WGS84,33°10'36.84"N,68°15'13.61"E,34°13'12.68"N,66°59'18.24"E,34°14'08.41"N,69°29'58.20"E,32°05'49.99"N,67°02'10.75"E,32°06'41.44"N,69°29'15.32"E, 33.17690,  68.25378, 34.22019,  66.98840, 34.23567,  69.49950, 32.09722,  67.03632, 32.11151,  69.48759,LC08_L2SP_153037_20240105_20240113_02_T1,LC81530372024005LGN00
LC08_L2SP_153038_20240105_20240113_02_T1,LC08_L1TP_153038_20240105_20240113_02_T1,LC81530382024005LGN00,2024/01/05,T1,2, 153, 038, 153, 038,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-05 06:01:07,2024-01-05 06:01:38,LGN,DAY,  14.16,  14.16,549,5,    5.989,    4.269,    4.200,LPGS_16.3.1,31.28881367,154.98727666,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,42,WGS84,WGS84,31°44'32.57"N,67°51'51.05"E,32°46'57.18"N,66°36'52.78"E,32°48'18.86"N,69°05'15.32"E,30°39'34.67"N,66°40'06.42"E,30°40'49.87"N,69°05'08.20"E, 31.74238,  67.86418, 32.78255,  66.61466, 32.80524,  69.08759, 30.65963,  66.66845, 30.68052,  69.08561,LC08_L2SP_153038_20240105_20240113_02_T1,LC81530382024005LGN00
